path,size_bytes,sha256
.gitattributes,83,f98ae5cfe798eca95dbfeb674ea7cdf2a4fd81c48fca971018e6f258ba67d92d
.gitignore,246,722764c793ad1d801d5dd60b99ed43687d7f037e7a3d94b031b150a62b300b7f
coastaldc_env/__init__.py,239,4e86d344df1c9c176d954d5e36a595eb694769304b3c47b805470531f5952aed
coastaldc_env/continuous_env.py,18553,c40cc6750f5bfac8682045e1d6835806d56c119e6b2fa148e1d797ee89427133
coastaldc_env/forecasting/__init__.py,854,7241b7d9ac09642abc927e9e69fe11b1f12e707dbfa2d4c35042a975077cac86
coastaldc_env/forecasting/causal_ridge.py,14805,75a36e09ad778b15fc8f8fe3ac566bc1ca136e5c37dec6dccaae7bda5356dea6
coastaldc_env/forecasting/residuals.py,10762,9f3503be8cf65c871c3c3da9fd6377feb10f300ba1fc582383aec95a16bfcbf3
coastaldc_env/forecasting/stress.py,4353,d9e2f787cdfd3e85e09328c5abc45b195cb22f23bd7af86429e48b97235f3a46
coastaldc_env/normalization.py,836,acfa71b1f87f70f9204e692f8caa4b7299acabb434fb2afff1ec9c49178e7bb4
coastaldc_env/offshore_wind.py,936,99a9832765cb46035d9e90f54dae8c7172e949ab617933cb77c3e2bd0e0e4228
coastaldc_env/reward.py,2755,70b90301a0f9364915040e60407e26d32e0c103ca64171041f2445c9f10ffa30
coastaldc_env/rollout.py,2676,02a2d0b15ed6f79b6e788de0d81668e7e6cc7c7417306acaded20cb17002a2c0
coastaldc_env/swhp_cooling.py,11242,780f8ab86ba29dc2a4dc8c2909d8cd73ee5068a72c537f510b9b11560137d8d1
coastaldc_env/synthetic.py,4218,8073643903f2a21e5e71a593ae70f8eccd49c7f2b65d09ee3df81b2ba1838475
coastaldc_env/workload.py,9996,b846e947570e080ef23e64c8e1ec956997958b0026dcf23e34fd3a9af7791dfd
controllers/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
controllers/behavior_cloning.py,2690,5f2727816b01bb02ef14a42dda49c326b145c3ec291cc038a534b75d07737849
controllers/decision_transformer_continuous.py,7791,e634dc98a3d02b6a21271c8a75928db09ce8532f2672321431c7d93af4262888
controllers/discrete_wrapper.py,1119,0000c87c81dddf0f8bde68b335ba17b1346975081bb98dcd81354f8fa95abbae
controllers/eact_mpc.py,24937,fdda41b855a44312f1be30bf551ed5fbf91a796d8f87f73413d848aadfb227eb
controllers/mpc.py,9202,4d517d3fd8c6b922d4ba6649a554d3804a57dfaad7385044fb9d980339ed9da4
controllers/no_control.py,586,d33df8d969039dd4f8ca30943c6aa878135765b3cd5199267d22704dc6cdea27
controllers/ppo.py,1093,897cc38d94ea05c89bb30049ba984252300b17da1c7cf48ff5482f7babff145e
controllers/rule_based.py,3306,f5b48ca48535b54ed5054c5c37995da2105f11a85a6f589606497c4dffcb5d49
controllers/sac.py,1150,4fc70b2eecdefbf2f126f1ca096a6cf1fdda50ad378724f0abdbe02bd6a86eaa
controllers/td3.py,1358,924e67743cd9a5ed4d65dd0bdeabaeb67b56aad9458c575f53676c5341197e66
data/processed/country_price_inputs.csv,1458,829fb5a77b16a638293bfd99985681f26313e49f9c18f8f9435cc875443c9cd0
data/processed/hourly_inputs_AUS.csv,932191,6a2628ffe14efa8c4a46a5dc1650497e98d2123c9d84fe43ae52777b7d4e9736
data/processed/hourly_inputs_CAN.csv,901872,89a358f5dfda1768f5912ed30c2685f49c97457029ede88151af9278c8443ac0
data/processed/hourly_inputs_CHN.csv,831344,8c9a0b95b07131ef708d3711c070eb110f219ad40f92ba3033850d357aaf1e1c
